"Cidade","UF","Pais","cidade","lat","lon","freq"
"Natal","Rio Grande do Norte","Brasil","Natal, Rio Grande do Norte, Brasil",-5.805398,-35.2080905,2133
"Brasília","Distrito Federal","Brasil","Brasília, Distrito Federal, Brasil",-15.7934036,-47.8823172,21512
"São Paulo","São Paulo","Brasil","São Paulo, São Paulo, Brasil",-23.5506507,-46.6333824,8437
"Rio de Janeiro","Rio de Janeiro","Brasil","Rio de Janeiro, Rio de Janeiro, Brasil",-22.9110137,-43.2093727,9962
"Lisboa",NA,"Portugal","Lisboa, NA, Portugal",41.153328,-8.60457584870635,130
"Niterói","Rio de Janeiro","Brasil","Niterói, Rio de Janeiro, Brasil",-22.8832371,-43.1154552,191
"Faenza",NA,"Itália","Faenza, NA, Itália",44.2855555,11.8832055,1
"Florianópolis","Santa Catarina","Brasil","Florianópolis, Santa Catarina, Brasil",-27.5973002,-48.5496098,2431
"Belém","Pará","Brasil","Belém, Pará, Brasil",-1.45056,-48.4682453,2388
"Recife","Pernambuco","Brasil","Recife, Pernambuco, Brasil",-8.0641931,-34.8781517,4621
"Manaus","Amazonas","Brasil","Manaus, Amazonas, Brasil",-3.1316333,-59.9825041,3067
"Belo Horizonte","Minas Gerais","Brasil","Belo Horizonte, Minas Gerais, Brasil",-19.9227318,-43.9450948,4301
"Bilbao",NA,"Espanha","Bilbao, NA, Espanha",43.2630051,-2.9349915,1
"Curitiba","Paraná","Brasil","Curitiba, Paraná, Brasil",-25.4295963,-49.2712724,4023
"João Pessoa","Paraíba","Brasil","João Pessoa, Paraíba, Brasil",-7.1215981,-34.882028,1876
"Campina Grande","Paraíba","Brasil","Campina Grande, Paraíba, Brasil",-7.2246743,-35.8771292,878
"Porto Alegre","Rio Grande do Sul","Brasil","Porto Alegre, Rio Grande do Sul, Brasil",-30.0324999,-51.2303767,4066
"Confins","Minas Gerais","Brasil","Confins, Minas Gerais, Brasil",-19.6278749,-43.9912311,520
"Salvador","Bahia","Brasil","Salvador, Bahia, Brasil",-12.9822499,-38.4812772,2641
"Navegantes","Santa Catarina","Brasil","Navegantes, Santa Catarina, Brasil",-26.8898813,-48.6495828,316
"Nagoya",NA,"Japão","Nagoya, NA, Japão",35.1851045,136.8998438,2
"Berkeley  California",NA,"Estados Unidos da América","Berkeley  California, NA, Estados Unidos da América",37.8708393,-122.2728639,1
"Londrina","Paraná","Brasil","Londrina, Paraná, Brasil",-23.3112878,-51.1595023,652
"Aracaju","Sergipe","Brasil","Aracaju, Sergipe, Brasil",-10.9162061,-37.0774655,1236
"Juiz de Fora","Minas Gerais","Brasil","Juiz de Fora, Minas Gerais, Brasil",-21.7609533,-43.3501129,909
"Campinas","São Paulo","Brasil","Campinas, São Paulo, Brasil",-22.90556,-47.06083,2045
"Santarém","Pará","Brasil","Santarém, Pará, Brasil",-2.438489,-54.699611,549
"Viçosa","Minas Gerais","Brasil","Viçosa, Minas Gerais, Brasil",-20.7538586,-42.8815888,319
"Genebra",NA,"Suíça","Genebra, NA, Suíça",46.2017559,6.1466014,76
"Teresina","Piauí","Brasil","Teresina, Piauí, Brasil",-5.0896403,-42.809588,1273
"Pelotas","Rio Grande do Sul","Brasil","Pelotas, Rio Grande do Sul, Brasil",-31.7699736,-52.3410161,485
"Uberlândia","Minas Gerais","Brasil","Uberlândia, Minas Gerais, Brasil",-18.9188041,-48.2767837,892
"Governador Valadares","Minas Gerais","Brasil","Governador Valadares, Minas Gerais, Brasil",-18.8539497,-41.9458753,238
"Ipatinga","Minas Gerais","Brasil","Ipatinga, Minas Gerais, Brasil",-19.4777807,-42.5270802,97
"Jales","São Paulo","Brasil","Jales, São Paulo, Brasil",-20.2671767,-50.5492435,35
"São José do Rio Preto","São Paulo","Brasil","São José do Rio Preto, São Paulo, Brasil",-20.8125851,-49.3804212,454
"Munique",NA,"Alemanha","Munique, NA, Alemanha",48.1371079,11.5753822,13
"Ingolstadt",NA,"Alemanha","Ingolstadt, NA, Alemanha",48.7630165,11.4250395,3
"Teófilo Otoni","Minas Gerais","Brasil","Teófilo Otoni, Minas Gerais, Brasil",-17.8579267,-41.5081533,85
"Clermont-Ferrand",NA,"França","Clermont-Ferrand, NA, França",45.7774551,3.0819427,4
"Paris",NA,"França","Paris, NA, França",48.8566969,2.3514616,149
"Tel Aviv",NA,"Israel","Tel Aviv, NA, Israel",32.0804808,34.7805274,28
"Porto Velho","Rondônia","Brasil","Porto Velho, Rondônia, Brasil",-8.7494525,-63.8735438,1607
"Berlim",NA,"Alemanha","Berlim, NA, Alemanha",52.5170365,13.3888599,46
"Estação Antártica Comandante Ferraz",NA,"Antártica","Estação Antártica Comandante Ferraz, NA, Antártica",-62.0843309,-58.3911814,22
"Punta Arenas",NA,"Chile","Punta Arenas, NA, Chile",-53.162664,-70.9080552,77
"Havana",NA,"Cuba","Havana, NA, Cuba",23.135305,-82.3589631,9
"Rio Branco","Acre","Brasil","Rio Branco, Acre, Brasil",-9.9765362,-67.8220778,995
"Manilla",NA,"Filipinas","Manilla, NA, Filipinas",14.5906216,120.9799696,1
"Pato Branco","Paraná","Brasil","Pato Branco, Paraná, Brasil",-26.2295984,-52.6712474,175
"Zurique",NA,"Suíça","Zurique, NA, Suíça",47.3723941,8.5423328,34
"Santo André","São Paulo","Brasil","Santo André, São Paulo, Brasil",-23.6573395,-46.5322504,86
"Valencia",NA,"Espanha","Valencia, NA, Espanha",39.4697065,-0.3763353,9
"Copenhague",NA,"Dinamarca","Copenhague, NA, Dinamarca",55.6867243,12.5700724,12
"Hong Kong",NA,"Hong Kong","Hong Kong, NA, Hong Kong",22.2793278,114.1628131,2
"Ponta Grossa","Paraná","Brasil","Ponta Grossa, Paraná, Brasil",-25.0891685,-50.1601812,282
"Campo Mourão","Paraná","Brasil","Campo Mourão, Paraná, Brasil",-24.046329,-52.37802,152
"Maringá","Paraná","Brasil","Maringá, Paraná, Brasil",-23.425269,-51.9382078,470
"Porto",NA,"Portugal","Porto, NA, Portugal",41.1494512,-8.6107884,54
"Bragança",NA,"Portugal","Bragança, NA, Portugal",41.5084468,-6.77330236053307,147
"Goianá","Minas Gerais","Brasil","Goianá, Minas Gerais, Brasil",-21.5375,-43.2014,68
"San Francisco  Califórnia",NA,"Estados Unidos da América","San Francisco  Califórnia, NA, Estados Unidos da América",37.7790262,-122.4199061,46
"Gold Coast",NA,"Austrália","Gold Coast, NA, Austrália",-28.0023731,153.4145987,3
"Cascavel","Paraná","Brasil","Cascavel, Paraná, Brasil",-24.9554996,-53.4560544,625
"Foz do Iguaçu","Paraná","Brasil","Foz do Iguaçu, Paraná, Brasil",-25.5401479,-54.5858139,1527
"Maceió","Alagoas","Brasil","Maceió, Alagoas, Brasil",-9.6476843,-35.7339264,1670
"Duluth  Minnesota",NA,"Estados Unidos da América","Duluth  Minnesota, NA, Estados Unidos da América",46.7729322,-92.1251218,1
"Toulouse",NA,"França","Toulouse, NA, França",43.6044622,1.4442469,9
"Goiânia","Goiás","Brasil","Goiânia, Goiás, Brasil",-16.680882,-49.2532691,3336
"Fortaleza","Ceará","Brasil","Fortaleza, Ceará, Brasil",-3.7304512,-38.5217989,2861
"Málaga",NA,"Espanha","Málaga, NA, Espanha",36.7213028,-4.4216366,3
"Lages","Santa Catarina","Brasil","Lages, Santa Catarina, Brasil",-27.8165664,-50.325883,131
"Miami",NA,"Estados Unidos da América","Miami, NA, Estados Unidos da América",25.7742658,-80.1936589,111
"Vitória","Espírito Santo","Brasil","Vitória, Espírito Santo, Brasil",-20.3200917,-40.3376682,1518
"São Luís","Maranhão","Brasil","São Luís, Maranhão, Brasil",-2.5634605,-44.2448718,1096
"Petrolina","Pernambuco","Brasil","Petrolina, Pernambuco, Brasil",-9.3817334,-40.4968875,959
"Juazeiro do Norte","Ceará","Brasil","Juazeiro do Norte, Ceará, Brasil",-7.2153453,-39.3153336,390
"Toledo","Paraná","Brasil","Toledo, Paraná, Brasil",-24.7222438,-53.7402476,109
"Blumenau","Santa Catarina","Brasil","Blumenau, Santa Catarina, Brasil",-26.9195567,-49.0658025,383
"Camboriú","Santa Catarina","Brasil","Camboriú, Santa Catarina, Brasil",-27.0273601,-48.6535657,85
"Londres",NA,"Reino Unido","Londres, NA, Reino Unido",51.5073219,-0.1276474,117
"Alfenas","Minas Gerais","Brasil","Alfenas, Minas Gerais, Brasil",-21.4297405,-45.9479419,236
"Aveiro",NA,"Portugal","Aveiro, NA, Portugal",41.1223365,-8.5887521,35
"Tbilisi",NA,"Geórgia","Tbilisi, NA, Geórgia",41.6934591,44.8014495,4
"Itajubá","Minas Gerais","Brasil","Itajubá, Minas Gerais, Brasil",-22.4238234,-45.4524156,158
"Guarulhos","São Paulo","Brasil","Guarulhos, São Paulo, Brasil",-23.4430602,-46.524459,2719
"Concepción",NA,"Chile","Concepción, NA, Chile",-36.8270795,-73.0502399,2
"Santa Cruz",NA,"Bolívia","Santa Cruz, NA, Bolívia",-11.099756,-68.9609062,153
"Bom Jesus","Piauí","Brasil","Bom Jesus, Piauí, Brasil",-9.0711644,-44.3583926,68
"Boa Vista","Roraima","Brasil","Boa Vista, Roraima, Brasil",2.8208478,-60.6719582,2091
"Lyon",NA,"França","Lyon, NA, França",45.7578137,4.8320114,8
"Istambul",NA,"Turquia","Istambul, NA, Turquia",41.0096334,28.9651646,7
"Marabá","Pará","Brasil","Marabá, Pará, Brasil",-5.3462821,-49.1007401,498
"Buenos Aires",NA,"Argentina","Buenos Aires, NA, Argentina",-26.0267191,-54.6135088,85
"San Luis",NA,"Argentina","San Luis, NA, Argentina",-27.481401,-55.1290561,1
"Ribeirão Preto","São Paulo","Brasil","Ribeirão Preto, São Paulo, Brasil",-21.178333,-47.8066671,685
"Pirassununga","São Paulo","Brasil","Pirassununga, São Paulo, Brasil",-21.9980468,-47.4280861,200
"Santa Maria","Rio Grande do Sul","Brasil","Santa Maria, Rio Grande do Sul, Brasil",-29.6860512,-53.8069214,1293
"Los Angeles",NA,"Estados Unidos da América","Los Angeles, NA, Estados Unidos da América",34.0536909,-118.2427666,19
